tools,With,total_produce_time(s),avg_produce_time(s)
confluent_kafka,multi process single thread,2.018606186,1.68E-05
confluent_kafka,multi process single thread,2.122468472,1.77E-05
kafka,multi process single thread,6.867180824,5.62E-05
kafka,multi process single thread,6.84558177,5.64E-05
pykafka,multi process single thread,6.237857103,5.16E-05
pykafka,multi process single thread,6.246153355,5.16E-05
pykafka,multi process single thread,4.045676947,4.98E-05
pykafka,multi process single thread,4.045481443,4.98E-05
confluent_kafka,multi process single thread,2.213718414,1.82E-05
confluent_kafka,multi process single thread,2.103819132,1.73E-05
kafka,multi process single thread,2.308559418,0.030375782
kafka,multi process single thread,2.308300018,0.002867453
kafka,multi process single thread,6.222200155,5.12E-05
kafka,multi process single thread,6.317805529,5.17E-05
confluent_kafka,multi process single thread,3.640573978,3.00E-05
confluent_kafka,multi process single thread,3.605532408,2.97E-05
confluent_kafka,multi process single thread,3.739490747,3.08E-05
confluent_kafka,multi process single thread,3.698672771,3.05E-05
